ilanNo,brutM2,oda,fiyat,ilanBasligi,emlak,emlaktipi,ilce,url,ilcee,index,page,semt
1007313831,66,1+1,2.365.000,AĞAOĞLU ANDROMEDA RESIDENCE TA SATILIK 'C' TİPİ EŞYALI 1+1 DAİRE,,Daire,Barbaros,https://www.sahibinden.com/ilan/emlak-konut-satilik-agaoglu-andromeda-residence-ta-satilik-c-tipi-esyali-1-plus1-daire-1007313831/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,
1007236559,129,2+1,4.095.000,FIRSAT! Ağaoğlu My World Suncity'de E.Banyolu Satılık BOŞ 2+1,,Daire,Barbaros,https://www.sahibinden.com/ilan/emlak-konut-satilik-firsat-agaoglu-my-world-suncity-de-e.banyolu-satilik-bos-2-plus1-1007236559/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,
1007015476,216,4+1,8.430.000,ATAŞEHİR AĞAOĞLU MY TOWERLAND 3377 BLOK'DA GÜZEL KONUMLU 4+1,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-agaoglu-my-towerland-3377-blok-da-guzel-konumlu-4-plus1-1007015476/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,AtatürkMh.
1006311769,110,3+1,2.100.000,ATAŞEHİR BARAJYOLU'NDA BALKONLU BAKIMLI 3+1 SATILIK BOŞ DAİRE,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-barajyolu-nda-balkonlu-bakimli-3-plus1-satilik-bos-daire-1006311769/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,YenişehirMh.
1005446656,68,1+1,2.475.000,UZMANDAN TEK YETKI TRENDIST DE ADALAR GOLF MANZARA 1+1,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-uzmandan-tek-yetki-trendist-de-adalar-golf-manzara-1-plus1-1005446656/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,AtatürkMh.
1005177950,130,2+1,3.500.000,ATAŞEHİR AĞAOĞLU SOUTHSİDE TADİLATLI TEMİZ 2+1,,Daire,Barbaros,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-agaoglu-southside-tadilatli-temiz-2-plus1-1005177950/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,
1004487137,100,2+1,1.950.000,ATASEHIR HASTANELER BOLGESINDE 2+1 EBEVEYN LI KAPALI MUTFAK,,Daire,Küçükbakkalköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-hastaneler-bolgesinde-2-plus1-ebeveyn-li-kapali-mutfak-1004487137/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KüçükbakkalköyMh.
1003098792,216,4+1,8.750.000,ATAŞEHİR AĞAOĞLU MY TOWERLAND 3377 SATILIK 4+1 DAİRE 22.KAT,,Daire,Ataşehir,https://www.sahibinden.com/ilan/emlak-konut-satilik-atasehir-agaoglu-my-towerland-3377-satilik-4-plus1-daire-22.kat-1003098792/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,AtatürkMh.
1002920828,125,3+1,2.650.000,SATILIK 3+1 DAİRE 9-KAT,,Daire,İçerenköy,https://www.sahibinden.com/ilan/emlak-konut-satilik-satilik-3-plus1-daire-9-kat-1002920828/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,İçerenköyMh.
1002441754,80,2+1,635.000,KAYIŞDAĞI MAH CADDE VE ULAŞIMA ÇOK YAKIN BAHÇE KULLANIMLI 2+1,,Daire,Kayışdağı,https://www.sahibinden.com/ilan/emlak-konut-satilik-kayisdagi-mah-cadde-ve-ulasima-cok-yakin-bahce-kullanimli-2-plus1-1002441754/detay,istanbul-atasehir,1,https://www.sahibinden.com/son-1-ay/istanbul-atasehir?1=1&viewType=Classic&category=16623&pagingSize=50,KayışdağıMh.
